127.0.0.1 localhost
0.0.0.0 64culture.com
0.0.0.0 64memo.com
0.0.0.0 64tianwang.com
0.0.0.0 9ping.net
0.0.0.0 9ping.org
0.0.0.0 aboluowang.com
0.0.0.0 ajax.microsoft.com
0.0.0.0 alliance.org.hk
0.0.0.0 ap.ntdtv.com
0.0.0.0 asiademo.org
0.0.0.0 asp.fgmtv.org
0.0.0.0 at.flyhi.net.ru
0.0.0.0 b5.videopediaworld.com
0.0.0.0 baiyun.net
0.0.0.0 bbc.co.uk
0.0.0.0 bbcchinese.com
0.0.0.0 bbs.aboluowang.com
0.0.0.0 bbs.futurechinaforum.org
0.0.0.0 bbs.kanzhongguo.com
0.0.0.0 bbs.secretchina.com
0.0.0.0 beijingspring.com
0.0.0.0 bestchineseshows.com
0.0.0.0 big5.minghui.org
0.0.0.0 big5.soundofhope.org
0.0.0.0 big5.zhengjian.org
0.0.0.0 bignews.org
0.0.0.0 binlong.world.edoors.com
0.0.0.0 bjs.org
0.0.0.0 bjzc.org
0.0.0.0 blog.epochtimes.com
0.0.0.0 bloody50.freehosting.net
0.0.0.0 book.edoors.com
0.0.0.0 broadbook.com
0.0.0.0 broadpressinc.com
0.0.0.0 calendar.edoors.com
0.0.0.0 caogenminzhu.spaces.live.com
0.0.0.0 cdjweb.org
0.0.0.0 cdp1998.org
0.0.0.0 centralnation.com
0.0.0.0 cgarden.net
0.0.0.0 chanhkien.org
0.0.0.0 chengmingmag.com
0.0.0.0 chenjinsong.com
0.0.0.0 cherry16133.world.edoors.com
0.0.0.0 china21.org
0.0.0.0 china21century.org
0.0.0.0 chinaaffairs.org
0.0.0.0 chinaaid.org
0.0.0.0 chinaeforum.com
0.0.0.0 chinaeweekly.com
0.0.0.0 chinainterimgov.org
0.0.0.0 chinalaborwatch.org
0.0.0.0 chinaway.org
0.0.0.0 chinese.faluninfo.net
0.0.0.0 chinese.wsj.com
0.0.0.0 chinesedivineculture.net
0.0.0.0 chinese-memorial.org
0.0.0.0 chinesesplendor.com
0.0.0.0 chru.org
0.0.0.0 cipfg.org
0.0.0.0 classified.epochtimes.com
