***************************************
恶意网站实验室(MWSL)
恶意网站HOSTS屏蔽文件-2011.12.26
www.mwsl.org.cn
---------------------------------------
注意：115.47.219.95为MWSL的拦截警示页面
警告：不得将此数据用于违法犯罪行为！
---------------------------------------
All Rights Reserved 2007-2011
***************************************
127.0.0.1 localhost
0.0.0.0 000.2011wyt.com
0.0.0.0 000.bbexe.cn
0.0.0.0 0000-qq.cn
0.0.0.0 00000-qq.cn
0.0.0.0 0008-qq.cn
0.0.0.0 000wyt.com
0.0.0.0 001.bbexe.cn
0.0.0.0 001fans.com
0.0.0.0 002.la
0.0.0.0 00333.cn
0.0.0.0 005.70o2.cn
0.0.0.0 006001.com
0.0.0.0 0073d.cn
0.0.0.0 007wyt.com
0.0.0.0 008.kweilai.cn
0.0.0.0 008.qq8625.cn
0.0.0.0 008.renyi1.cn
0.0.0.0 008.wangwang1.cn
0.0.0.0 008.youyiv.cn
0.0.0.0 008.zhifong.cn
0.0.0.0 00852555.cn
0.0.0.0 00852tm888.com
0.0.0.0 008567.cn
0.0.0.0 00ad.3322.org
0.0.0.0 00ooll.cn
0.0.0.0 00pp00.360yyy.8800.org
0.0.0.0 00zzd.2288.org
0.0.0.0 010246.com
0.0.0.0 010268.com
0.0.0.0 010389.com
0.0.0.0 010488.com
0.0.0.0 0105568.cn
0.0.0.0 01058789.com
0.0.0.0 0106658.cn
0.0.0.0 0106677.cn
0.0.0.0 0108686.cn
0.0.0.0 0108818.cn
0.0.0.0 010899.com
0.0.0.0 0109079.com
0.0.0.0 0109888.cn
0.0.0.0 010caipiao.com
0.0.0.0 010kys.com
0.0.0.0 010zgcp.com
0.0.0.0 0111152.3322.org
0.0.0.0 011wg.com
0.0.0.0 01324.cn
0.0.0.0 0164073.netsolhost.com
0.0.0.0 01696.com
0.0.0.0 022.70o2.cn
0.0.0.0 023tvb.us
0.0.0.0 02lh.info
0.0.0.0 03.xiezhen.co.cc
0.0.0.0 0303.tok77.org
0.0.0.0 0303.tok88.com
0.0.0.0 0303.tok99.com
0.0.0.0 030999.com
0.0.0.0 031520.cn
0.0.0.0 0322.tok77.org
0.0.0.0 0322.tok88.com
0.0.0.0 0322.tok99.com
0.0.0.0 03988.cn
0.0.0.0 039999.com
0.0.0.0 0451fck.com
0.0.0.0 051.tok88.com
0.0.0.0 0518pw.cn
0.0.0.0 0519pw.cn
0.0.0.0 05cctv.cn
0.0.0.0 05qqvip.com
0.0.0.0 06000.cn
0.0.0.0 061.tok88.com
0.0.0.0 06713.buo.cc
0.0.0.0 06qy.3322.or
0.0.0.0 06qy.3322.org
0.0.0.0 0718.88mw.com
0.0.0.0 07212.com
0.0.0.0 0757110.com
0.0.0.0 07797.com
0.0.0.0 07dp.com
0.0.0.0 07yin.com
0.0.0.0 08053.80uoxp.com
0.0.0.0 0810.6600.org
0.0.0.0 08318.cn
0.0.0.0 08cpw.com
0.0.0.0 08zs.com
0.0.0.0 09-yahoo.cn
0.0.0.0 0916ss.3322.org
0.0.0.0 0920ss.3322.org
0.0.0.0 0926gx.kmip.net
0.0.0.0 09edy.com
0.0.0.0 09xss.cn
0.0.0.0 0e1p.9966.org
0.0.0.0 0iyhhtr.cn
0.0.0.0 0kdy.cn
0.0.0.0 0ni9o1s3feu60.cn
0.0.0.0 0nly18.com
0.0.0.0 0os0d.cn
0.0.0.0 0osaee.cn
0.0.0.0 1.114central.com
0.0.0.0 1.12008.com.cn
0.0.0.0 1.1234llll.com
0.0.0.0 1.138dh.info
0.0.0.0 1.17nnn.com
0.0.0.0 1.17qin.com
0.0.0.0 1.1ddxx.com
0.0.0.0 1.222233.com
0.0.0.0 1.27nnn.com
0.0.0.0 1.32cs.com
0.0.0.0 1.333mi.com
0.0.0.0 1.33aaaa.com
0.0.0.0 1.33lc.com
0.0.0.0 1.42nnn.com
0.0.0.0 1.444mi.com
0.0.0.0 1.444mi.net
0.0.0.0 1.44aaaa.com
0.0.0.0 1.44l.info
0.0.0.0 1.4ddxx.com
0.0.0.0 1.522sm.com
0.0.0.0 1.551mi.com
0.0.0.0 1.555mi.com
0.0.0.0 1.555mi.net
0.0.0.0 1.666mi.com
0.0.0.0 1.66aaaa.com
0.0.0.0 1.7sy.info
0.0.0.0 1.82nnn.com
0.0.0.0 1.82yyy.com
0.0.0.0 1.88888wyt.com
0.0.0.0 1.95622.com
0.0.0.0 1.97wuyue.com
0.0.0.0 1.97xxb.info
0.0.0.0 1.99game.info
0.0.0.0 1.a.dirty-boy.cn
0.0.0.0 1.addd.cz.cc
0.0.0.0 1.ajehe.info
0.0.0.0 1.al1pay6.com.cn
0.0.0.0 1.bbsmaya.com
0.0.0.0 1.boksx.com
0.0.0.0 1.ccw12.com
0.0.0.0 1.clxwe.com
0.0.0.0 1.csly.info
0.0.0.0 1.ctrl.fajujohiv.cn
0.0.0.0 1.cy265.info
0.0.0.0 1.damimi.info
0.0.0.0 1.dd9b.com
0.0.0.0 1.doxws.com
0.0.0.0 1.dxjyh.com
0.0.0.0 1.exksc.com
0.0.0.0 1.fuwxh.com
0.0.0.0 1.ganbobo.com
0.0.0.0 1.google-credit.cn
0.0.0.0 1.googlelianmeng.9966.org
0.0.0.0 1.hxut.net
0.0.0.0 1.ixwsy.com
0.0.0.0 1.jianlingwg.com
0.0.0.0 1.jinfuren.info
0.0.0.0 1.kekese.com
0.0.0.0 1.mestferrit.co.cc
0.0.0.0 1.mishi.info
0.0.0.0 1.mumudy.com
0.0.0.0 1.ourlamb.info
0.0.0.0 1.putuan.info
0.0.0.0 1.qinqin.info
0.0.0.0 1.qqenet.com
0.0.0.0 1.recruter.cz8.ru
0.0.0.0 1.sao16.com
0.0.0.0 1.selaoda.net
0.0.0.0 1.sese137.com
0.0.0.0 1.sewo.8866.org
0.0.0.0 1.sewo.9966.org
0.0.0.0 1.sexdao.info
0.0.0.0 1.shelang.us
0.0.0.0 1.so8.us
0.0.0.0 1.sqwyl.com
0.0.0.0 1.tianshi2000.info
0.0.0.0 1.ubersexy.su
0.0.0.0 1.uuav.info
0.0.0.0 1.wori.us
0.0.0.0 1.wwwddd.net
0.0.0.0 1.xdizhi.info
0.0.0.0 1.xiaoxiao77.com
0.0.0.0 1.ys38.com
0.0.0.0 1.yxnjs.com
0.0.0.0 1.zjcbbs.info
0.0.0.0 10.fyg.cc
0.0.0.0 10.gdvd.cn
0.0.0.0 10.wowoke.us
0.0.0.0 1000.dnsxy.cn
0.0.0.0 10000-vip08.cn
0.0.0.0 10000.25690.cn
0.0.0.0 10000ww51.cn
0.0.0.0 1000y.283168261.cn
0.0.0.0 100488.cn
0.0.0.0 10086feix.cn
0.0.0.0 100amateurvideos.com
0.0.0.0 100k100.com
0.0.0.0 1010hh.3322.org
0.0.0.0 1014gx3.6600.org
0.0.0.0 10233.cn
0.0.0.0 1031218.3322.org
0.0.0.0 10569.nznz.net
0.0.0.0 105qngkk.863computer.org.cn
0.0.0.0 107jj.cn
0.0.0.0 10qqgn.cn
0.0.0.0 10r.cssa.c0m.at
0.0.0.0 10wk.cn
0.0.0.0 11-j.somee.com
0.0.0.0 11-qq.com
0.0.0.0 11.57mao.com
0.0.0.0 11.iii97.com
0.0.0.0 11.yf3e.com
0.0.0.0 110.770304123.cn
0.0.0.0 1100xx.com
0.0.0.0 110abc.sdsawwds.info
0.0.0.0 111.21site.info
0.0.0.0 111.365blog.info
0.0.0.0 111.bbexe.cn
0.0.0.0 111.jqtop.com
0.0.0.0 111.qa222.8866.org
0.0.0.0 111.sdfsdg.3322.org
0.0.0.0 1111.daima-daima.cn
0.0.0.0 1111111.aiqiusese.3322.org
0.0.0.0 1111dnf.kmip.net
0.0.0.0 11189b2.63810.com
0.0.0.0 111cao.com
0.0.0.0 111hs.com
0.0.0.0 111mimi.com
0.0.0.0 111yi.com
0.0.0.0 1122444.com
0.0.0.0 1122aa.3322.org
0.0.0.0 1123886.3322.org
0.0.0.0 113.6600.org
0.0.0.0 114.585431.com
0.0.0.0 115252.com
0.0.0.0 11748.com
0.0.0.0 117cp.com
0.0.0.0 117la.cn
0.0.0.0 118099.com
0.0.0.0 119abc.cn
0.0.0.0 11a.17site.info
0.0.0.0 11dgef.cn
0.0.0.0 11fdsftf.cn
0.0.0.0 11fwg.8866.org
0.0.0.0 11ggl.2288.org
0.0.0.0 11sdasew.cn
0.0.0.0 11vcv.2288.org
0.0.0.0 11vereb.8866.org
0.0.0.0 12-2005-search.com
0.0.0.0 12.meimei855.cn
0.0.0.0 12.yifi8.cn
0.0.0.0 1200dk.cn
0.0.0.0 1204gx1.6600.org
0.0.0.0 12102.com
0.0.0.0 12138.info
0.0.0.0 121ip.cn
0.0.0.0 122.770304123.cn
0.0.0.0 122.zzso.cn
0.0.0.0 122j.cn
0.0.0.0 122odkufnanta.3322.org
0.0.0.0 123-987.3322.org
0.0.0.0 123.greenhome001.com.cn
0.0.0.0 123.kukankan.com
0.0.0.0 123.sd22ddd.cn
0.0.0.0 123.tang3344.cn
0.0.0.0 123.ww22ff.cn
0.0.0.0 1232355.8866.org
0.0.0.0 1234.888888ok.com.cn
0.0.0.0 1234.q161.com
0.0.0.0 123408.com
0.0.0.0 123456qweasdzxcrfv.7766.org
0.0.0.0 123456sad.3322.org
0.0.0.0 1234cao.8888ye.com
0.0.0.0 1234ye.com
0.0.0.0 123555662.6600.org
0.0.0.0 123896.com
0.0.0.0 123945.com
0.0.0.0 123cp.com.cn
0.0.0.0 123dd.info
0.0.0.0 123fengliu.cn
0.0.0.0 123ktv.info
0.0.0.0 123rruy75.cn
0.0.0.0 124860823abc.hljvip.net
0.0.0.0 12580dianying-google-http-baidu-com.lanqiuhuo.info
0.0.0.0 126.123fga.cn
0.0.0.0 126vip2009.cn
0.0.0.0 127136.com
0.0.0.0 128388.com
0.0.0.0 128828.cn
0.0.0.0 12888.cc
0.0.0.0 129aof.3322.or
0.0.0.0 12ccx12.3322.org
0.0.0.0 12ff.a125.xunbiz.com
0.0.0.0 12hxajx.zij.yaq.58ui.90cj.wcs.500caipiao.com.cn
0.0.0.0 12smm.com
0.0.0.0 12ss52.3322.org
0.0.0.0 12wds.cn
0.0.0.0 12yuefen.3322.org
0.0.0.0 131111.com
0.0.0.0 13117485397.baidu.google.soso.yahoo.sina.sohu.taobao.com.woyinwose.info
0.0.0.0 1314bblc.com
0.0.0.0 1314r.3322.org
0.0.0.0 13278.com
0.0.0.0 1335122.ggg365.info
0.0.0.0 1335666.ggg365.info
0.0.0.0 1336592.ggg365.info
0.0.0.0 134xxoo.6600.org
0.0.0.0 135008.cn
0.0.0.0 1355188.org.cn
0.0.0.0 135se.com
0.0.0.0 136138.net
0.0.0.0 13894.com
0.0.0.0 138978.com
0.0.0.0 138cp.cn
0.0.0.0 138xxoo.com
0.0.0.0 139ads.sdsawwds.info
0.0.0.0 13fsfs.baidushisbnndbuyaoqian.cn
0.0.0.0 13kvlts.cn
0.0.0.0 13opd.com
0.0.0.0 13vv.3322.org
0.0.0.0 13you9.cn
0.0.0.0 14.meimei855.cn
0.0.0.0 14360.3322.org
0.0.0.0 146.xdwan.cn
0.0.0.0 14647.cn
0.0.0.0 147gh0.3322.org
0.0.0.0 147xxoo.com
0.0.0.0 14sel.com
0.0.0.0 14ssaacaa.cn
0.0.0.0 14xxoo.com
0.0.0.0 150gho.3322.org
0.0.0.0 150wyt.com
0.0.0.0 1515.net
0.0.0.0 151down.3322.org
0.0.0.0 152.31113.cn
0.0.0.0 1520ai.kmip.net
0.0.0.0 152down.3322.org
0.0.0.0 1541005.28002010.34414.com
0.0.0.0 159xxoo.com
0.0.0.0 15abo.com
0.0.0.0 15hamei.3322.org
