@HostsX 海外站点广告
#BNet
0.0.0.0 bwp.bnet.com
0.0.0.0 mads.bnet.com
0.0.0.0 ocp.bnet.com
0.0.0.0 dw.findarticles.com
#CBS
0.0.0.0 ocp.cbs.com
0.0.0.0 dw.cbs.com
0.0.0.0 dw.cbsi.com.cn
0.0.0.0 adimg.news.com
0.0.0.0 bwp.news.com
0.0.0.0 dw.cbsnews.com
0.0.0.0 mads.cbsnews.com
0.0.0.0 ocp.cbsnews.com
0.0.0.0 dw.cbssports.com
0.0.0.0 dw.maxpreps.com
0.0.0.0 dw.mysimon.com
0.0.0.0 dw.ncaa.com
0.0.0.0 dw.search.com
0.0.0.0 domainhelp.search.com
0.0.0.0 dw.tv.com
0.0.0.0 adimg.tv.com
0.0.0.0 mads.tv.com
0.0.0.0 dw.urbanbaby.com
#Chow
0.0.0.0 adimg.chow.com
0.0.0.0 dw.chow.com
0.0.0.0 mads.chow.com
#CNet
0.0.0.0 adimg.cnet.com
0.0.0.0 bwp.cnet.com
0.0.0.0 bwp.download.cnet.com
0.0.0.0 bwp.cnet.com.au
0.0.0.0 dw.cnet.com
0.0.0.0 mads.cnet.com
0.0.0.0 remotead-internal.cnet.com
0.0.0.0 remotead.cnet.com
0.0.0.0 www-direct-intl.cnet.com
0.0.0.0 www.cbsinteractive.com
#Com.com
0.0.0.0 adimg.com.com
0.0.0.0 adlog.com.com
0.0.0.0 ads.com.com
0.0.0.0 bwp.techrepublic.com.com
0.0.0.0 dw-cn.com.com
0.0.0.0 img.com.com
0.0.0.0 mads.com.com
0.0.0.0 ocp.com.com
0.0.0.0 rok.com.com
0.0.0.0 rubics-assets.com.com
#Download.com
0.0.0.0 adimg.download.com
0.0.0.0 bwp.download.com
0.0.0.0 mads.download.com
#Gamespot
0.0.0.0 adimg.gamefaqs.com
0.0.0.0 bwp.gamefaqs.com
0.0.0.0 mads.gamefaqs.com
0.0.0.0 bwp.gamespot.com
0.0.0.0 dw.gamespot.com
0.0.0.0 mads.gamespot.com
0.0.0.0 stat.gamespot.com.cn
0.0.0.0 dw.metacritic.com
#ZdNet
0.0.0.0 adimg.zdnet.com
0.0.0.0 ads.zdnet.com
0.0.0.0 adserver.zdnet.co.kr
0.0.0.0 am.zdnet.com.cn
0.0.0.0 bwp.zdnet.co.uk
0.0.0.0 bwp.zdnet.com.au
0.0.0.0 bwp.zdnet.fr
0.0.0.0 dw.zdnet.com
0.0.0.0 mads.zdnet.com
0.0.0.0 om.zdnet.co.uk
