***********************************
《电脑报》黑榜(R)恶意网址屏蔽文件    
版本号：2010.11.1特别版
编辑陈邓新策划和监制
警告：不得将此数据用于违法犯罪行为！
POWER BY www.mwsl.org.cn
***********************************
127.0.0.1 localhost
0.0.0.0 000.bbexe.cn
0.0.0.0 001.bbexe.cn
0.0.0.0 001fans.com
0.0.0.0 00333.cn
0.0.0.0 005.70o2.cn
0.0.0.0 0073d.cn
0.0.0.0 008567.cn
0.0.0.0 00zzd.2288.org
0.0.0.0 01058789.com
0.0.0.0 0106658.cn
0.0.0.0 0108818.cn
0.0.0.0 010kys.com
0.0.0.0 022.70o2.cn
0.0.0.0 0518pw.cn
0.0.0.0 0519pw.cn
0.0.0.0 05cctv.cn
0.0.0.0 05qqvip.com
0.0.0.0 06000.cn
0.0.0.0 06713.buo.cc
0.0.0.0 07797.com
0.0.0.0 07yin.com
0.0.0.0 08053.80uoxp.com
0.0.0.0 08cpw.com
0.0.0.0 0916ss.3322.org
0.0.0.0 0920ss.3322.org
0.0.0.0 0926gx.kmip.net
0.0.0.0 09city.com
0.0.0.0 0e1p.9966.org
0.0.0.0 0nly18.com
0.0.0.0 0os0d.cn
0.0.0.0 1.138dh.info
0.0.0.0 1.1ddxx.com
0.0.0.0 1.222233.com
0.0.0.0 1.2222d.net
0.0.0.0 1.33lc.com
0.0.0.0 1.551mi.com
0.0.0.0 1.88888wyt.com
0.0.0.0 1.99game.info
0.0.0.0 1.acbbs.us
0.0.0.0 1.addd.cz.cc
0.0.0.0 1.aicbbs.info
0.0.0.0 1.boksx.com
0.0.0.0 1.clxwe.com
0.0.0.0 1.ctrl.fajujohiv.cn
0.0.0.0 1.dd9b.com
0.0.0.0 1.doxws.com
0.0.0.0 1.exksc.com
0.0.0.0 1.fuwxh.com
0.0.0.0 1.hxut.net
0.0.0.0 1.ixwsy.com
0.0.0.0 1.laoselang.org
0.0.0.0 1.onlyqq.info
0.0.0.0 1.psbbs.info
0.0.0.0 1.pstang.com
0.0.0.0 1.qinqin.info
0.0.0.0 1.selaoda.net
0.0.0.0 1.sexdao.info
0.0.0.0 1.so8.us
0.0.0.0 1.tianshi2000.info
0.0.0.0 1.ys38.com
0.0.0.0 1000.dnsxy.cn
0.0.0.0 10000.25690.cn
0.0.0.0 10086feix.cn
0.0.0.0 100amateurvideos.com
0.0.0.0 1014gx3.6600.org
0.0.0.0 1031218.3322.org
0.0.0.0 105qngkk.863computer.org.cn
0.0.0.0 107jj.cn
0.0.0.0 10r.cssa.c0m.at
0.0.0.0 10wk.cn
0.0.0.0 11-j.somee.com
0.0.0.0 11-qq.com
0.0.0.0 11.ggdmm.com
0.0.0.0 110.770304123.cn
0.0.0.0 110abc.sdsawwds.info
0.0.0.0 111.21site.info
0.0.0.0 111.365blog.info
0.0.0.0 111.bbexe.cn
0.0.0.0 111.jqtop.com
0.0.0.0 111.qa222.8866.org
0.0.0.0 1111111.aiqiusese.3322.org
0.0.0.0 1111dnf.kmip.net
0.0.0.0 1122444.com
0.0.0.0 1122aa.3322.org
0.0.0.0 115252.com
0.0.0.0 11748.com
0.0.0.0 117la.cn
0.0.0.0 11a.17site.info
0.0.0.0 11dgef.cn
0.0.0.0 11fwg.8866.org
0.0.0.0 11ggl.2288.org
0.0.0.0 11mmm.com
0.0.0.0 11sss.com
0.0.0.0 11vcv.2288.org
0.0.0.0 1204gx1.6600.org
0.0.0.0 122.770304123.cn
0.0.0.0 122odkufnanta.3322.org
0.0.0.0 123.sd22ddd.cn
0.0.0.0 1232355.8866.org
0.0.0.0 123456qweasdzxcrfv.7766.org
0.0.0.0 123555662.6600.org
0.0.0.0 123cp.com.cn
0.0.0.0 123rruy75.cn
0.0.0.0 129aof.3322.or
0.0.0.0 12ff.a125.xunbiz.com
0.0.0.0 12hxajx.zij.yaq.58ui.90cj.wcs.500caipiao.com.cn
0.0.0.0 12ss52.3322.org
0.0.0.0 1314r.3322.org
0.0.0.0 1335122.ggg365.info
0.0.0.0 1335666.ggg365.info
0.0.0.0 1336592.ggg365.info
0.0.0.0 139ads.sdsawwds.info
0.0.0.0 13vv.3322.org
0.0.0.0 14647.cn
0.0.0.0 147gh0.3322.org
0.0.0.0 150gho.3322.org
0.0.0.0 1520ai.kmip.net
0.0.0.0 1541005.28002010.34414.com
0.0.0.0 163cp.com
0.0.0.0 1688xungou.com
0.0.0.0 17173jw.com
0.0.0.0 174mm.com
0.0.0.0 1777.hk
0.0.0.0 17gby.com
0.0.0.0 17l73.search.yx1l.cn
0.0.0.0 1859yhu.qa111.8866.org
0.0.0.0 186.my319.info
0.0.0.0 186cctv.com
0.0.0.0 187asdiebfgs.3322.org
0.0.0.0 18jlurp.co.cc
0.0.0.0 18yuy.com
0.0.0.0 190zn001.6600.org
0.0.0.0 198148.com
0.0.0.0 1ct.3322.org
0.0.0.0 1d.2288.org
0.0.0.0 1foxfiisa.com
0.0.0.0 1hougong.info
0.0.0.0 1sexin18.com
0.0.0.0 1z.2288.org
0.0.0.0 1zhifu.10.cname.in
0.0.0.0 2.7k.cc
0.0.0.0 2.aicbbs.info
0.0.0.0 2.boksx.com
0.0.0.0 2.clxwe.com
0.0.0.0 2.cxzzd.com
0.0.0.0 2.doxws.com
0.0.0.0 2.exksc.com
0.0.0.0 2.fuwxh.com
0.0.0.0 2.hupxw.com
0.0.0.0 2.ixwsy.com
0.0.0.0 2.maya3.com
0.0.0.0 2.mm258.org
0.0.0.0 2.yintuku.com
0.0.0.0 2009-yahoo.xxcfd.cn
0.0.0.0 2009.renxian114.cn
0.0.0.0 200912172002.2288.org
0.0.0.0 200988qq.cn
0.0.0.0 2009cctv61.cn
0.0.0.0 2009cctvk.com
0.0.0.0 2009qqcom.cn
0.0.0.0 2009sina.eu.kz
0.0.0.0 2009t.8qbe.cn
0.0.0.0 2009viv.cn
0.0.0.0 2010.zdfdgf.3322.org
0.0.0.0 201001.8866.org
0.0.0.0 201001.9966.org
0.0.0.0 2010down.cn
0.0.0.0 2010qqvip.com
0.0.0.0 2011.ttdk2.com
0.0.0.0 20285.com
0.0.0.0 21.heziav.info
0.0.0.0 218318.cn
0.0.0.0 22.bbexe.cn
0.0.0.0 22.pzwm.info
0.0.0.0 222.gamealitysa.com
0.0.0.0 2233.cc
0.0.0.0 22ccc.info
0.0.0.0 22ee.8866.org
0.0.0.0 22ger.cn
0.0.0.0 22qsw.com
0.0.0.0 230it.cn
0.0.0.0 23331.com
0.0.0.0 234ijdcbgakf.3322.org
0.0.0.0 234oaidnhtkd.3322.org
0.0.0.0 255188.cn
0.0.0.0 2783ueiiw.cn
0.0.0.0 28773.cn
0.0.0.0 28fa.net
0.0.0.0 297gan.info
0.0.0.0 2aini.kmip.net
0.0.0.0 2b.perfectexe.com
0.0.0.0 2ijdi.cn
0.0.0.0 2m2m.kmip.net
0.0.0.0 2nxx.com
0.0.0.0 2vd.benpao2020.com
0.0.0.0 2x3x4x5x6x7x8.count.xj.cn
0.0.0.0 3-45654.54654.354354.357.65685.info
0.0.0.0 3.4t5v.com
0.0.0.0 3.boksx.com
0.0.0.0 3.clxwe.com
0.0.0.0 3.ctrl.fajujohiv.cn
0.0.0.0 3.cxzzd.com
0.0.0.0 3.exksc.com
0.0.0.0 3.fuwxh.com
0.0.0.0 3.hupxw.com
0.0.0.0 3.ixwsy.com
0.0.0.0 308268.cn
0.0.0.0 308gg.cn
0.0.0.0 30xj.com
0.0.0.0 318x.com
0.0.0.0 322188.com
0.0.0.0 33.aregular.info
0.0.0.0 3310.net.cn
0.0.0.0 333ds.7766.org
0.0.0.0 335889.com
0.0.0.0 33dxdx.com
0.0.0.0 33vcv.2288.org
0.0.0.0 33xj.net
0.0.0.0 33xjw.com
0.0.0.0 3432333.7766.org
0.0.0.0 3432343.8800.org
0.0.0.0 34567wyt.cn
0.0.0.0 34618.com
0.0.0.0 35465543.com
0.0.0.0 360caonima01.3322.org
0.0.0.0 360safe.9966.org
0.0.0.0 360safebox.9966.org
0.0.0.0 360sb.3322.org
0.0.0.0 365.tv660.com
0.0.0.0 365dizhi.com
0.0.0.0 365ggg.info
0.0.0.0 368618.com
0.0.0.0 36o.8866.org
0.0.0.0 3838cp.com
0.0.0.0 3872.qrqr.net
0.0.0.0 38jjj.com
0.0.0.0 38zu.cn
0.0.0.0 38zz.info
0.0.0.0 39sese.com
0.0.0.0 3as45sad4f5.3322.org
0.0.0.0 3b.iwillhavebigdick.com
0.0.0.0 3ba3h.cn
0.0.0.0 3d0099.cn
0.0.0.0 3d4888.net
0.0.0.0 3d49.cn
0.0.0.0 3d5000.com
0.0.0.0 3d5688.com
0.0.0.0 3d5805.cn
0.0.0.0 3d8848.com
0.0.0.0 3d8886.com
0.0.0.0 3d90.com
0.0.0.0 3d9206.cn
0.0.0.0 3dcplt.com
0.0.0.0 3ddmm.com
0.0.0.0 3eifj.cn
0.0.0.0 3ggt.kmip.net
0.0.0.0 3god.net
0.0.0.0 3gqqchaoren.com
0.0.0.0 3m.vpsvip.com
0.0.0.0 3rdsddsd.7766.org
0.0.0.0 3w.08ai.info
0.0.0.0 3y.2288.org
0.0.0.0 4.33lc.com
0.0.0.0 4.aicbbs.info
0.0.0.0 4.ctrl.fajujohiv.cn
0.0.0.0 4.exksc.com
0.0.0.0 4.hxut.net
0.0.0.0 4.ixwsy.com
0.0.0.0 40xj.com
0.0.0.0 432432ddsd.8866.org
0.0.0.0 43254543534.9966.org
0.0.0.0 432ddsds33232.8866.org
0.0.0.0 435434535.3322.org
0.0.0.0 43bobo.com
0.0.0.0 43iii.2288.org
0.0.0.0 44fang.com
0.0.0.0 44ghe.cn
0.0.0.0 44uuu.com
0.0.0.0 44wen.com
0.0.0.0 454126.8800.org
0.0.0.0 456.as22456.cn
0.0.0.0 456.ds11aa.cn
0.0.0.0 456.ee22456.cn
0.0.0.0 456.qq22456.cn
0.0.0.0 456.ww11456.cn
0.0.0.0 456.ww22456.cn
0.0.0.0 45678.org
0.0.0.0 456cao.com
0.0.0.0 456ss.cn
0.0.0.0 45com.net
0.0.0.0 46.3388a.cn
0.0.0.0 46603.com
0.0.0.0 466555.com
0.0.0.0 47ybnzo.o.o.il.vlfk.os.972wyt.com
0.0.0.0 485800.com
0.0.0.0 488cp.com
0.0.0.0 5-qq.com.h001.51mydns.cn
0.0.0.0 5.baigong2000.info
0.0.0.0 5.ko188.com
0.0.0.0 506google.3322.org
0.0.0.0 507google.3322.org
0.0.0.0 50checkingyourtraffic.com
0.0.0.0 50wu.cn
0.0.0.0 511google.3322.org
0.0.0.0 519google.3322.org
0.0.0.0 51lacount.cn
0.0.0.0 51she.info
0.0.0.0 51vvc.cn
0.0.0.0 51xcn.bee.pl
0.0.0.0 5203389.9966.org
0.0.0.0 520spmm.cn
0.0.0.0 520zhidao.cn
0.0.0.0 522google.3322.org
0.0.0.0 523google.3322.org
0.0.0.0 524485072.cn
0.0.0.0 5252bb.com
0.0.0.0 52x52.com
0.0.0.0 52x52.net
0.0.0.0 53kkk.com
0.0.0.0 53yyy.com
0.0.0.0 5435433.8866.org
0.0.0.0 5435434.2288.org
0.0.0.0 5435646.2288.org
0.0.0.0 54g.qa222.8866.org
0.0.0.0 55356.cn
0.0.0.0 554313.3322.org
0.0.0.0 555.afsdff.3322.org
0.0.0.0 5555se.com
0.0.0.0 555ty.com
0.0.0.0 556tv3.com
0.0.0.0 55crw.com
0.0.0.0 55fang.com
0.0.0.0 55sss.com
0.0.0.0 56238.com
0.0.0.0 563f235.cn
0.0.0.0 56665568822.8866.org
0.0.0.0 56780.ss.la
0.0.0.0 567890.ss.la
0.0.0.0 56gvdfg444.2288.org
0.0.0.0 578la.com
0.0.0.0 57cao.com
0.0.0.0 58fcw.cn
0.0.0.0 5918.8866.org
0.0.0.0 591rb.com
0.0.0.0 592wg.com
0.0.0.0 59579.cn
0.0.0.0 59659.cn
0.0.0.0 59ri.com
0.0.0.0 5jyss.com
0.0.0.0 5mxx.com
0.0.0.0 5nxx.com
0.0.0.0 5pam.3322.org
0.0.0.0 5t434ffss.3322.org
0.0.0.0 5t8.tv707.info
0.0.0.0 6.acbbs.biz
0.0.0.0 600925.com
0.0.0.0 602hh.cn
0.0.0.0 61-cctv2.com
0.0.0.0 61222.com
0.0.0.0 62ai.com
0.0.0.0 63ke.com
0.0.0.0 654.qrqr.net
0.0.0.0 655996.cn
0.0.0.0 65gao.com
0.0.0.0 66.qq99.in
0.0.0.0 661cn.com
0.0.0.0 66289.com
0.0.0.0 666.dclsba.com
0.0.0.0 666.qaqa125.8866.org
0.0.0.0 666135.com
0.0.0.0 666158.cn
0.0.0.0 66cc.7766.org
0.0.0.0 66dxdx.com
0.0.0.0 66qsw.com
0.0.0.0 66tt.com
0.0.0.0 66uu.info
0.0.0.0 677b.com
0.0.0.0 67i11.cn
0.0.0.0 67rrr.com
0.0.0.0 689cp.cn
0.0.0.0 68bi.cn
0.0.0.0 69818.cn
0.0.0.0 69mmhh.com
0.0.0.0 6g.q7sp.com
0.0.0.0 6mxx.com
0.0.0.0 6nnnn.com
0.0.0.0 6nxx.com
0.0.0.0 6se6420.co.cc
0.0.0.0 6see.com
0.0.0.0 6y71.3322.org
0.0.0.0 6zg.8800.org
0.0.0.0 7-7.746.45654.5454.5467.45.5043.info
0.0.0.0 70622.com
0.0.0.0 70checkingyourtraffic.com
0.0.0.0 70kxw.com
0.0.0.0 731273265.520815.com
0.0.0.0 7408.com
0.0.0.0 74zw.com
0.0.0.0 76nnn.com
0.0.0.0 77.haowyt.com
0.0.0.0 7777788888.com
0.0.0.0 77bbb.com
0.0.0.0 77ff.com
0.0.0.0 77pic.com
0.0.0.0 77yyj.8866.org
0.0.0.0 786ts.qqsafe-qqservicesyydswfhuw8ysjftwf.org
0.0.0.0 787675.com
0.0.0.0 788520.com
0.0.0.0 7crw.com
0.0.0.0 7hero.lianmeng2010.com
0.0.0.0 7qusi.3322.org
0.0.0.0 7y.3322.org
0.0.0.0 800810down.cn
0.0.0.0 809678.cn
0.0.0.0 816868.com
0.0.0.0 81yyy.com
0.0.0.0 82346.com
0.0.0.0 83xx.info
0.0.0.0 84gho.3322.org
0.0.0.0 857695.3322.org
0.0.0.0 858581816.go.qqcft.cn
0.0.0.0 871cc.cn
0.0.0.0 87ai.info
0.0.0.0 87xs.8866.org
0.0.0.0 88512.cn
0.0.0.0 8866ctv.com
0.0.0.0 88777.info
0.0.0.0 8884.ss.la
0.0.0.0 88881121223888.rulvbobingainimadeqiu.3322.org
